id,duration,title,date
KePQSzEact4,423,4K Drone Footage: Venice From Above. Timeless Venezia and San Marco,20190908
96YMtltmYLA,1240,"Venice, Italy 4k Drone Video Compilation/Venezia, Italia/San Marco/Canals/Boats",20210917
RdmUP1xtGUk,614,Venice Italy via Drone (4K) Spectacular Forbidden Shots!,20200305
HDpX9dnJHmk,197,"Venice, Italy ðŸ‡®ðŸ‡¹ - by drone [4K]",20180608
9nzBxX95kHA,498,"Venice, Sunrise on Piazza San Marco Aerial Tour (4K Footage)",20160716
oNDBrxB3eFA,295,venice italy 4k drone |,20210816
JOO76duwwX0,392,VENICE by Drone  | VENEZIA ðŸ‡®ðŸ‡¹ ItÃ¡lia (AÃ©reas Drone),20190914
r8guZh64x4U,110,"Italy: Drone footage shows Venice""s iconic St. Mark""s Square deserted amid COVID-19 lockdown",20200419
v1Ug_PO0pUY,658,VENICE by Drone ðŸ‡®ðŸ‡¹ | Cinematic Aerial Ultra HD Venezia Venedig ITALY,20210714
O28DUsjPhTo,874,Venice 4K - Ponte di Rialto to San Marco,20190321
NAb1ATrEn5k,60,Venezia video con il drone,20200711
0m-qpIDz5cI,259,"Venice, Italy (aerial view by drone)",20171010
ummT6MWaAwI,312,VENICE BEACH,20190408
_w_2nORo1L8,11623,ðŸ”´ Live Webcam from Piazza San Marco - Venice,20201015
OXsd9HO7NAU,1236,Venice Italy in 8K Ultra HD,20210503
Fkl4YcZiWI0,640,"Venice, Italy 8K HDR 60FPS",20200524
f-9ijiN31LI,360,Italy by Drone (4K),20170110
GTGm7mye-_4,165,Venice Carnival in 4K HDR 60P (UHD),20170620
PPfyShd50NQ,248,Milan An Evolving City | 4K drone footage of Milano Skyline in Italy,20170916
P7aaNh2LDwA,704,EPIC NATURE SCREENSAVER | 6K UHD Drone Video | Le Alpi e le Dolomiti | Mountains of Europe,20190826
hX6VvxKtWZU,2048,"Venice Italy 4k, Europe Tour, Drone Footage From Above, A Travel Tour UHD",20210423
mGbsYlsw09I,287,Venedig - Drohne DJI Air S2 Ãœber den DÃ¤chern - September 2021,20210919
qGue8F1ouTM,51,Piazza San Marco Venice: Short Clip about Things to See,20190927
RSi-25ZB7_M,1209,Venice: Basilica di San Marco: exploratory tour in 4k,20180917
lQ3Bx0kISbA,202,"Venice, Italy ðŸ‡®ðŸ‡¹ - by drone [4K] remastered",20190723
CZOiwxin3mc,698,4K - Venezia / Venise / Venice,20180917
33aPVYzV9PA,123,Venice from the Sky [Drone Video],20180911
TxVlXzqdsak,182,Venice by drone,20170214
